,date,app,spend
239,8/20/2020,Normandy_K,147581.44
240,8/20/2020,ColorPhone_K,125610.45
241,8/20/2020,Amber_K,6434.14
242,8/20/2020,PrivacyPowerPro_K,119503.61
243,8/20/2020,Mars_K,101166.873
244,8/20/2020,500_K,120422.07
245,8/20/2020,Walk_K,2241.2
246,8/21/2020,Optimizer_K,218111.409
247,8/21/2020,ColorPhone_K,116062.35
248,8/21/2020,PrivacyPowerPro_K,130124.54
249,8/21/2020,Amber_K,5223.57
250,8/21/2020,500_K,130447.34
251,8/21/2020,Space_K,1853.9
252,8/21/2020,Mars_K,126071.786
253,8/21/2020,FastClear_K,33156.61
254,8/21/2020,Walk_K,729.73
255,8/21/2020,Rat_K,13301.53
256,8/21/2020,Athena,2914.76
257,8/21/2020,DogRaise_K,14381.27
258,8/21/2020,Normandy_K,65745.77
259,8/22/2020,Normandy_K,80273.0
260,8/22/2020,PrivacyPowerPro_K,141991.25
261,8/22/2020,Athena,6000.0
262,8/22/2020,Mars_K,118564.811
263,8/22/2020,Amber_K,7550.79
264,8/22/2020,Optimizer_K,206873.376
265,8/22/2020,FastClear_K,26681.03
266,8/22/2020,ColorPhone_K,128538.35
267,8/22/2020,Rat_K,11475.77
268,8/22/2020,DogRaise_K,13055.68
269,8/22/2020,500_K,127506.61
270,8/22/2020,Space_K,11025.79
271,8/22/2020,Walk_K,2275.32
272,8/23/2020,Normandy_K,69598.21
273,8/23/2020,ColorPhone_K,122927.75
274,8/23/2020,Athena,5773.5
275,8/23/2020,PrivacyPowerPro_K,145456.74
276,8/23/2020,Walk_K,2036.52
277,8/23/2020,Optimizer_K,233330.638
278,8/23/2020,DogRaise_K,13174.05
279,8/23/2020,FastClear_K,21541.76
280,8/23/2020,Amber_K,6681.06
281,8/23/2020,Mars_K,132396.668
282,8/23/2020,Rat_K,12183.27
283,8/23/2020,500_K,104305.86
284,8/23/2020,Space_K,11598.02
285,8/24/2020,FastClear_K,24286.96
286,8/24/2020,ColorPhone_K,88365.87
287,8/24/2020,500_K,90925.99
288,8/24/2020,Amber_K,5525.92
289,8/24/2020,Space_K,13454.49
290,8/24/2020,Walk_K,1063.06
291,8/24/2020,DogRaise_K,13340.09
292,8/24/2020,Normandy_K,79731.33
293,8/24/2020,Rat_K,11040.03
294,8/24/2020,Mars_K,154480.855
295,8/24/2020,PrivacyPowerPro_K,152536.9
296,8/24/2020,Optimizer_K,269041.07300000003
297,8/24/2020,Athena,4188.7
298,8/25/2020,Athena,4622.15
299,8/25/2020,Space_K,19969.44
300,8/25/2020,Amber_K,4976.62
301,8/25/2020,500_K,102424.94
302,8/25/2020,Mars_K,158890.693
303,8/25/2020,Rat_K,8723.67
